,Country1,Occupation,Birth year,lifespan
0,Canada,politician,1940,69
1,United States,artist,1944,67
2,United States,politician,1962,45
3,United States,artist,1955,58
4,United States,truck driver,1982,37
4,United States,spree killer,1982,37
5,Ireland,artist,1960,53
6,United States,journalist,1937,73
7,United States,researcher,1933,74
8,United States,artist,1900,82
9,China,athlete,1949,66
10,United States,businessperson,1927,63
11,France,artist,1810,29
12,United States,artist,1943,75
13,United States,military personnel,1738,43
14,United States,artist,1943,59
15,United States,athlete,1911,33
16,United States,artist,1933,76
17,Ireland,artist,1892,82
18,Canada,artist,1948,62
19,United Kingdom,artist,1932,59
20,Ireland,athlete,1933,42
21,Canada,artist,1821,71
22,"Iran, Islamic Republic of",artist,1927,85
23,Russian Federation,artist,1945,60
24,United States,artist,1918,88
25,Canada,politician,1936,74
26,United Kingdom,television presenter,1935,74
26,United Kingdom,radio personality,1935,74
27,United States,engineer,1857,76
28,United States,artist,1947,37
29,India,artist,1942,57
30,United States,artist,1929,87
31,United States,artist,1927,51
32,Japan,athlete,1963,52
33,China,athlete,1963,52
34,United States,artist,1944,65
35,United States,politician,1924,87
36,Germany,choreographer,1927,69
37,United States,artist,1929,74
38,United States,artist,1892,49
39,United Kingdom,artist,1952,49
40,Argentina,artist,1940,74
41,United Kingdom,journalist,1930,84
42,United States,politician,1830,69
43,France,artist,1814,36
44,United States,artist,1952,59
45,United States,artist,1923,72
46,Canada,politician,1955,62
47,United States,entrepreneur,1906,72
48,China,gastroenterologist,1897,90
49,Nicaragua,politician,1909,57
50,United States,artist,1965,40
51,United States,artist,1878,76
52,Canada,politician,1841,62
53,United States,nascar team owner,1924,88
54,United States,artist,1929,81
55,Ghana,politician,1948,59
56,United States,artist,1955,59
57,Italy,athlete,1955,41
58,United States,athlete,1967,43
59,Australia,military personnel,1899,54
60,Italy,serial killer,1941,55
60,Italy,criminal,1941,55
61,Australia,politician,1803,60
62,United Kingdom,artist,1910,74
63,United States,artist,1922,76
64,Germany,politician,1935,51
65,Spain,translator,1518,34
66,Malaysia,politician,1915,58
67,United Kingdom,athlete,1951,56
68,United States,journalist,1893,45
69,France,artist,1926,87
70,United States,dentist,1898,64
71,China,athlete,1944,68
